Name,Color,Rarity,# Seen,ALSA,# Picked,ATA,# GP,% GP,GP WR,# OH,OH WR,# GD,GD WR,# GIH,GIH WR,# GNS,GNS WR,IWD
Dragon's Disciple,W,U,89035,6.95,11152,10.07,6371,14.5%,52.7%,1257,50.8%,1727,50.1%,2984,50.4%,3557,54.5%,-4.0pp
Dwarfhold Champion,W,C,211546,5.68,40754,7.36,82772,66.4%,53.9%,21607,55.3%,29012,53.2%,50619,54.1%,40316,53.5%,0.6pp
Flumph,W,R,24340,5.0,3641,7.14,2423,15.9%,49.1%,447,,610,46.9%,1057,46.3%,1396,50.7%,-4.5pp
Gloom Stalker,W,C,247928,7.27,29333,10.4,21431,21.7%,50.8%,4435,48.0%,6857,50.4%,11292,49.5%,11271,51.7%,-2.2pp
Grand Master of Flowers,W,M,3293,1.3,2472,1.27,8825,83.0%,55.4%,1517,59.6%,2291,59.8%,3808,59.7%,5070,52.1%,7.6pp
Guardian of Faith,W,R,10427,2.37,4174,2.41,12481,77.8%,53.6%,2149,51.7%,3323,54.7%,5472,53.5%,7102,53.8%,-0.3pp
Half-Elf Monk,W,C,235563,6.61,34479,9.12,51820,43.0%,52.6%,9696,49.9%,16113,52.1%,25809,51.3%,28137,53.4%,-2.1pp
"Icingdeath, Frost Tyrant",W,M,2991,1.25,2382,1.22,8869,87.0%,55.9%,1535,62.9%,2447,60.4%,3982,61.4%,5053,51.8%,9.6pp
Ingenious Smith,W,U,70295,5.23,9980,7.23,16328,45.2%,53.2%,3464,56.6%,4749,53.1%,8213,54.6%,8898,52.4%,2.2pp
Keen-Eared Sentry,W,U,86159,6.5,10490,9.58,9866,23.9%,51.2%,1855,51.2%,2643,49.1%,4498,50.0%,5582,52.1%,-2.1pp
Loyal Warhound,W,R,10278,2.23,4689,2.26,15748,81.8%,55.0%,2927,58.6%,4089,55.6%,7016,56.8%,8955,53.6%,3.3pp
Minimus Containment,W,C,135247,3.62,36299,4.36,90148,81.1%,53.8%,20083,50.8%,32605,55.3%,52688,53.6%,44017,54.0%,-0.4pp
Monk of the Open Hand,W,U,75313,5.63,10189,7.95,14852,39.6%,52.3%,2966,52.2%,4627,52.9%,7593,52.6%,8057,52.5%,0.2pp
Moon-Blessed Cleric,W,U,70485,5.1,11892,6.79,24700,53.8%,53.3%,4625,51.3%,7069,53.8%,11694,52.8%,13539,53.6%,-0.8pp
"Nadaar, Selfless Paladin",W,R,6903,1.37,5131,1.34,20358,91.5%,58.6%,3719,69.5%,5834,65.3%,9553,66.9%,11310,52.1%,14.8pp
Oswald Fiddlebender,W,R,22586,4.55,4031,6.13,5574,32.9%,52.7%,958,53.8%,1428,50.8%,2386,52.0%,3241,53.3%,-1.3pp
Paladin Class,W,R,7655,1.58,5255,1.52,18895,87.0%,55.7%,3412,59.9%,5498,58.5%,8910,59.0%,10106,52.8%,6.2pp
Paladin's Shield,W,C,257058,7.76,30313,11.05,18146,16.7%,51.6%,3198,48.3%,4890,49.2%,8088,48.9%,10352,53.6%,-4.7pp
Planar Ally,W,C,167203,4.41,30905,5.73,73673,72.3%,53.9%,14693,52.5%,26489,55.9%,41182,54.7%,37676,53.0%,1.7pp
Plate Armor,W,U,46746,3.46,16926,3.81,50696,82.2%,54.2%,9556,53.9%,15359,55.7%,24915,55.0%,27232,53.5%,1.5pp
Portable Hole,W,U,61572,4.41,14079,5.43,39063,72.1%,54.4%,7271,53.3%,11000,55.3%,18271,54.5%,21491,54.2%,0.3pp
Potion of Healing,W,C,252612,7.53,29733,10.73,22606,21.5%,53.7%,5156,53.0%,8047,55.8%,13203,54.7%,11150,52.9%,1.9pp
Priest of Ancient Lore,W,C,137808,3.61,45076,4.21,111049,83.4%,55.6%,29183,57.9%,42673,59.1%,71856,58.6%,52850,52.7%,5.9pp
Rally Maneuver,W,U,74663,5.32,13856,6.95,31476,59.5%,53.6%,5262,51.9%,8675,55.0%,13937,53.8%,17966,53.4%,0.5pp
Ranger's Hawk,W,C,225774,6.19,36132,8.35,67357,55.7%,54.1%,15109,55.7%,21076,54.4%,36185,54.9%,35177,53.3%,1.6pp
Steadfast Paladin,W,C,172783,4.41,45063,5.36,110705,83.6%,55.0%,29640,58.0%,41441,56.3%,71081,57.0%,52333,52.9%,4.1pp
Teleportation Circle,W,R,10393,2.23,5391,2.15,18577,81.7%,53.7%,3233,53.6%,6048,57.2%,9281,55.9%,9464,51.7%,4.2pp
Veteran Dungeoneer,W,C,198040,5.17,37390,6.77,80336,65.9%,54.9%,18459,56.3%,30869,58.0%,49328,57.4%,39142,52.7%,4.7pp
White Dragon,W,U,39428,2.96,13360,3.28,40533,82.2%,54.8%,6879,54.5%,12421,58.7%,19300,57.2%,22356,52.8%,4.3pp
You Hear Something on Watch,W,C,193857,5.04,37011,6.63,90566,72.0%,54.9%,20479,55.3%,31505,57.9%,51984,56.8%,45287,53.3%,3.5pp
You're Ambushed on the Road,W,C,263361,7.96,33021,11.18,19825,16.4%,55.5%,3440,55.3%,5832,55.5%,9272,55.4%,10954,55.3%,0.1pp
Aberrant Mind Sorcerer,U,U,71267,5.28,11207,6.98,15623,40.2%,51.1%,2730,47.4%,5132,53.7%,7862,51.5%,8308,50.7%,0.8pp
Air-Cult Elemental,U,C,234950,6.74,33044,9.11,42369,38.8%,53.2%,7933,52.1%,15794,56.9%,23727,55.3%,21239,51.0%,4.3pp
Arcane Investigator,U,C,239730,6.98,29148,9.67,40087,42.6%,53.1%,8857,53.3%,13588,54.3%,22445,53.9%,20225,52.3%,1.7pp
Bar the Gate,U,C,238539,7.14,25795,10.25,19807,22.9%,53.0%,4125,54.3%,6830,56.3%,10955,55.5%,9995,50.8%,4.8pp
The Blackstaff of Waterdeep,U,R,21250,4.51,3577,5.96,1539,10.7%,45.9%,284,,433,,717,46.6%,838,45.2%,1.4pp
Blue Dragon,U,U,54123,4.04,10780,4.93,23849,65.2%,52.4%,3992,51.1%,8010,55.4%,12002,54.0%,12654,51.1%,2.9pp
Charmed Sleep,U,C,174414,4.7,27845,5.98,48785,66.9%,52.8%,11614,51.4%,20574,54.9%,32188,53.7%,21885,52.0%,1.7pp
Clever Conjurer,U,C,252522,7.63,33104,10.37,33116,30.5%,52.8%,7473,54.0%,11623,54.1%,19096,54.1%,16483,51.7%,2.4pp
Contact Other Plane,U,C,222861,6.21,28760,8.52,42179,46.2%,51.8%,8407,49.0%,14453,54.8%,22860,52.7%,21881,51.5%,1.2pp
Demilich,U,M,5885,2.77,1745,2.8,1774,25.8%,50.3%,277,,546,51.1%,823,50.3%,990,50.2%,0.1pp
Displacer Beast,U,U,57312,4.22,10903,5.22,23592,64.5%,53.0%,4817,54.1%,11289,55.3%,16106,55.0%,12062,50.6%,4.4pp
Djinni Windseer,U,C,174502,4.65,31218,5.91,59075,68.8%,53.8%,14850,54.6%,26145,57.7%,40995,56.5%,26238,50.8%,5.7pp
Dragon Turtle,U,R,10655,2.38,3818,2.38,10274,71.6%,54.1%,1830,55.5%,3145,58.7%,4975,57.5%,5495,51.2%,6.3pp
Eccentric Apprentice,U,U,52283,3.9,11488,4.57,24933,67.5%,53.5%,5268,53.4%,8773,58.3%,14041,56.4%,12363,50.9%,5.5pp
Feywild Trickster,U,U,56070,4.29,11363,5.08,18269,51.6%,51.8%,4080,52.3%,6694,53.5%,10774,53.0%,8941,51.0%,2.0pp
Fly,U,U,59207,4.42,10550,5.54,20382,57.5%,52.2%,3952,52.9%,6416,55.8%,10368,54.7%,10626,50.0%,4.6pp
"Grazilaxx, Illithid Scholar",U,R,9357,2.03,4076,1.96,11566,74.9%,53.6%,2090,56.2%,3666,58.7%,5756,57.8%,6282,50.6%,7.2pp
Guild Thief,U,U,59520,4.49,9515,5.73,17620,58.2%,51.1%,3797,49.8%,5681,50.6%,9478,50.3%,9080,51.7%,-1.4pp
"Iymrith, Desert Doom",U,M,3039,1.28,2341,1.23,8370,82.8%,57.3%,1381,64.6%,2634,65.2%,4015,65.0%,4539,51.0%,14.0pp
Mind Flayer,U,R,8472,1.78,4853,1.69,16164,80.8%,57.6%,2720,62.1%,5141,66.6%,7861,65.0%,8680,51.5%,13.6pp
Mordenkainen,U,M,3309,1.3,2449,1.26,7873,79.5%,54.7%,1229,56.4%,2388,61.3%,3617,59.7%,4281,50.6%,9.1pp
Mordenkainen's Polymorph,U,C,270971,8.84,25238,12.89,1436,1.6%,46.4%,228,,421,,649,45.8%,817,46.8%,-1.0pp
Pixie Guide,U,C,222964,6.39,27467,8.71,34485,42.5%,52.0%,8631,51.9%,12796,52.4%,21427,52.2%,16442,51.4%,0.8pp
Power of Persuasion,U,U,84663,6.45,9768,9.23,6658,19.0%,49.2%,1254,48.9%,2128,50.9%,3382,50.2%,3545,48.3%,1.9pp
Ray of Frost,U,U,64141,4.71,11885,6.0,25518,64.6%,52.9%,5103,53.4%,8383,55.7%,13486,54.8%,13036,51.2%,3.6pp
Rimeshield Frost Giant,U,C,243491,7.23,27339,10.26,28387,29.9%,52.1%,5353,51.6%,9847,54.2%,15200,53.3%,14561,51.1%,2.1pp
Scion of Stygia,U,C,222665,6.21,31530,8.35,47523,51.3%,52.4%,11592,50.7%,19254,55.8%,30846,53.9%,21859,50.9%,3.0pp
Secret Door,U,C,256326,7.96,27181,11.37,19087,19.5%,51.1%,3837,48.1%,5958,51.6%,9795,50.2%,10017,51.6%,-1.4pp
Shocking Grasp,U,C,267098,8.35,31113,11.67,13101,12.5%,51.7%,2643,49.9%,4142,54.3%,6785,52.6%,6874,50.8%,1.8pp
Shortcut Seeker,U,C,240044,7.14,27212,10.14,26052,28.9%,51.0%,5407,50.5%,9433,52.2%,14840,51.6%,12982,50.2%,1.4pp
